Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
101.000000	0.001862	1.605000	89.436000	90.335000	1.713000	78.862000	80.569000	
102.000000	0.001859	1.608000	89.184000	90.212000	1.668000	82.227000	83.692000	
103.000000	0.001857	1.606000	89.554000	90.335000	1.700000	79.140000	80.743000	
104.000000	0.001854	1.605000	89.176000	90.388000	1.670000	80.619000	82.859000	
105.000000	0.001851	1.607000	89.328000	90.528000	1.668000	81.717000	83.276000	
106.000000	0.001849	1.603000	89.300000	90.511000	1.637000	83.340000	85.600000	
107.000000	0.001846	1.606000	89.212000	90.256000	1.679000	79.087000	82.408000	
108.000000	0.001843	1.603000	89.298000	90.230000	1.657000	82.462000	84.316000	
109.000000	0.001840	1.597000	90.191000	90.915000	1.683000	81.056000	82.339000	
110.000000	0.001837	1.599000	89.853000	90.704000	1.725000	78.118000	79.667000	
111.000000	0.001835	1.600000	89.783000	90.748000	1.640000	83.035000	84.663000	
112.000000	0.001832	1.604000	89.587000	90.335000	1.655000	81.280000	83.518000	
113.000000	0.001829	1.602000	89.337000	90.353000	1.673000	80.360000	83.380000	
114.000000	0.001826	1.601000	89.858000	90.765000	1.664000	82.529000	83.935000	
115.000000	0.001823	1.601000	89.754000	90.774000	1.683000	78.174000	82.339000	
116.000000	0.001820	1.603000	89.670000	90.669000	1.703000	78.026000	80.465000	
117.000000	0.001817	1.594000	90.445000	91.099000	1.656000	80.189000	83.449000	
118.000000	0.001814	1.592000	90.351000	91.213000	1.653000	81.935000	83.761000	
119.000000	0.001811	1.598000	90.230000	90.967000	1.649000	82.540000	84.386000	
120.000000	0.001808	1.598000	89.994000	90.923000	1.688000	80.089000	81.922000	
121.000000	0.001805	1.602000	89.711000	90.695000	1.653000	82.878000	84.351000	
122.000000	0.001802	1.596000	90.302000	91.152000	1.705000	80.379000	82.130000	
123.000000	0.001799	1.593000	90.080000	91.125000	1.672000	80.688000	82.408000	
124.000000	0.001795	1.599000	89.668000	90.844000	1.657000	82.634000	84.178000	
125.000000	0.001792	1.593000	90.537000	91.362000	1.654000	82.447000	84.837000	
126.000000	0.001789	1.594000	90.223000	91.160000	1.657000	83.301000	84.247000	
127.000000	0.001786	1.594000	90.396000	91.239000	1.656000	81.556000	83.657000	
128.000000	0.001783	1.587000	90.960000	91.687000	1.653000	80.769000	83.969000	
129.000000	0.001779	1.593000	90.388000	91.222000	1.668000	82.682000	84.629000	
130.000000	0.001776	1.584000	90.608000	91.599000	1.675000	79.752000	82.755000	
131.000000	0.001773	1.592000	90.615000	91.257000	1.726000	77.187000	79.563000	
132.000000	0.001769	1.588000	90.504000	91.239000	1.678000	82.415000	83.622000	
133.000000	0.001766	1.589000	90.623000	91.538000	1.659000	82.104000	83.865000	
134.000000	0.001763	1.589000	90.509000	91.503000	1.679000	81.103000	82.998000	
135.000000	0.001759	1.593000	90.435000	91.231000	1.657000	83.267000	84.351000	
136.000000	0.001756	1.588000	90.552000	91.327000	1.660000	81.979000	84.316000	
137.000000	0.001753	1.585000	90.882000	91.591000	1.698000	79.890000	81.992000	
138.000000	0.001749	1.586000	90.716000	91.520000	1.678000	80.231000	82.998000	
139.000000	0.001746	1.586000	90.657000	91.573000	1.646000	82.986000	85.184000	
140.000000	0.001742	1.586000	90.632000	91.599000	1.689000	79.325000	82.235000	
141.000000	0.001739	1.589000	90.675000	91.301000	1.698000	80.747000	81.749000	
142.000000	0.001735	1.588000	90.704000	91.538000	1.682000	80.707000	83.171000	
143.000000	0.001732	1.579000	91.140000	91.863000	1.658000	81.165000	83.831000	
144.000000	0.001728	1.583000	90.785000	91.678000	1.702000	78.078000	80.847000	
145.000000	0.001725	1.580000	91.024000	91.924000	1.659000	79.944000	83.310000	
146.000000	0.001721	1.581000	91.238000	92.214000	1.657000	83.930000	84.629000	
147.000000	0.001717	1.589000	90.631000	91.371000	1.673000	81.874000	83.067000	
148.000000	0.001714	1.577000	91.355000	92.337000	1.661000	81.927000	83.865000	
149.000000	0.001710	1.578000	91.223000	92.328000	1.683000	81.734000	83.414000	
150.000000	0.001706	1.580000	91.319000	92.056000	1.700000	80.423000	81.055000	
151.000000	0.001703	1.582000	91.356000	92.056000	1.681000	79.640000	82.894000	
152.000000	0.001699	1.580000	91.135000	92.012000	1.678000	81.832000	83.310000	
153.000000	0.001695	1.576000	91.310000	92.021000	1.675000	80.637000	83.345000	
154.000000	0.001691	1.578000	91.321000	92.179000	1.662000	82.698000	83.865000	
155.000000	0.001688	1.578000	91.474000	92.065000	1.685000	82.353000	83.831000	
156.000000	0.001684	1.583000	90.681000	91.573000	1.669000	82.803000	83.831000	
157.000000	0.001680	1.580000	91.377000	92.275000	1.670000	81.738000	83.449000	
158.000000	0.001676	1.584000	90.740000	91.573000	1.651000	81.777000	84.282000	
159.000000	0.001672	1.575000	91.205000	92.108000	1.668000	81.890000	83.622000	
160.000000	0.001669	1.574000	91.692000	92.258000	1.662000	81.109000	83.900000	
161.000000	0.001665	1.574000	91.562000	92.416000	1.663000	82.517000	83.935000	
162.000000	0.001661	1.571000	91.912000	92.732000	1.705000	78.010000	81.090000	
163.000000	0.001657	1.584000	90.664000	91.424000	1.706000	79.756000	82.061000	
164.000000	0.001653	1.581000	91.298000	91.986000	1.651000	83.356000	84.906000	
165.000000	0.001649	1.577000	91.417000	92.073000	1.689000	80.996000	81.853000	
166.000000	0.001645	1.576000	91.593000	92.135000	1.670000	82.081000	83.414000	
167.000000	0.001641	1.574000	91.800000	92.407000	1.701000	78.675000	80.881000	
168.000000	0.001637	1.574000	91.662000	92.205000	1.662000	82.465000	83.657000	
169.000000	0.001633	1.569000	92.041000	92.539000	1.696000	79.745000	81.575000	
170.000000	0.001629	1.578000	91.279000	91.959000	1.669000	80.804000	83.137000	
171.000000	0.001625	1.576000	91.512000	92.108000	1.678000	81.103000	83.067000	
172.000000	0.001621	1.575000	91.862000	92.372000	1.701000	80.933000	81.679000	
173.000000	0.001617	1.571000	92.097000	92.530000	1.692000	80.510000	81.818000	
174.000000	0.001613	1.575000	91.729000	92.267000	1.694000	79.704000	81.714000	
175.000000	0.001609	1.574000	91.435000	92.196000	1.649000	82.452000	84.108000	
176.000000	0.001604	1.567000	91.871000	92.732000	1.643000	82.136000	84.941000	
177.000000	0.001600	1.574000	91.797000	92.389000	1.673000	82.258000	83.761000	
178.000000	0.001596	1.568000	92.053000	92.626000	1.692000	78.383000	81.437000	
179.000000	0.001592	1.568000	92.062000	92.670000	1.649000	82.662000	84.559000	
180.000000	0.001588	1.563000	92.575000	93.065000	1.683000	80.095000	82.408000	
181.000000	0.001583	1.569000	92.066000	92.723000	1.668000	81.422000	82.651000	
